Year,Mo,Dy,Hr,Mn,Sec,Tsunami Event Validity,Tsunami Cause Code,Earthquake Magnitude,Deposits,Country,Occurences,Location Name,Latitude,Longitude,Maximum Water Height (m),Number of Runups,Tsunami Magnitude (Iida),Tsunami Intensity,Total Deaths,Total Missing,Total Missing Description,Total Injuries,Total Damage ($Mil),Total Damage Description,Total Houses Destroyed,Total Houses Damaged
1842,11,11,,,,1,1,6,0,Bangladesh,5,BAY OF BENGAL:  NORTHERN END,24,89.25,,3,,,,,,,,1,,
1843,1,5,,,,4,1,7.3,0,Indonesia,228,SW. SUMATRA,1.5,98,,3,,2,,,,,,3,,
1843,2,7,,,,1,1,6,0,Indonesia,228,BALI SEA,-7.2,114,,1,,0,,,,,,,,
1843,2,8,14,50,,4,1,8.3,0,Guadeloupe (French Territory),8,POINTE-A-PITRE,16.5,-62.2,1.2,1,0.3,,5000,,,,,4,,
1843,2,17,,,,1,6,,0,Guadeloupe (French Territory),8,MARIE-GALANTE ISLAND,15.933,-61.267,,1,,,,,,,,,,
1843,4,25,,,,4,1,8.4,3,Japan,225,SE. HOKKAIDO ISLAND,42,146,4.5,8,2.2,2.5,45,,,,,2,75,
1843,7,5,,,,1,0,,0,United Kingdom,7,"CORNWALL, ENGLAND",,,,0,,,,,,,,,,
1843,7,8,5,5,,2,1,7.5,0,New Zealand,86,NEW ZEALAND,-39.9,175,,1,,,,,,,,,,
1843,9,14,10,30,,2,1,6.5,0,Croatia,12,DUBROVNIK,42.6,18.1,,2,,4,,,,,,,,
1843,10,18,,,,2,1,6.5,0,Greece,113,ISLAND OF CHALKI,36.3,27.6,,1,,4,,,,,,,,
1844,3,3,18,25,,2,1,,0,Croatia,12,DUBROVNIK,,,,1,,3,,,,,,,,
1844,3,8,,,,-1,0,,0,Japan,225,"IAMACHI, JAPAN",,,,0,1,1,,,,,,,,
1844,3,22,10,13,,2,1,,0,Croatia,12,DUBROVNIK,43.4,16.7,,1,,2,,,,,,,,
1844,5,,,,,0,1,7.4,0,Nicaragua,6,LAKE NICARAGUA,11.2,-84.8,,0,,,,,,,,2,,
1845,2,8,7,30,,3,1,7,1,Indonesia,228,CELEBES SEA,1.5,124.85,,1,0,0,118,,,,,2,,
1845,4,7,,,,3,1,8,0,Mexico,59,S. MEXICO,17,-100.6,,1,,1.5,,,,,,2,,
1845,6,18,,,,1,1,,0,Italy,91,ISLAND OF SICILY,36.4,13.44,,1,,,,,,,,,,
1845,6,19,,,,3,1,6.3,0,India,15,RANN OF KUTCH,23.583,68.367,,3,,,,,,,,2,,
1845,7,5,,,,1,1,,0,New Zealand,86,N. NEW ZEALAND,-39.93,175.05,1,1,,0.5,,,,,,,,
1845,8,16,16,38,,1,1,,0,Croatia,12,DUBROVNIK,,,,1,,3,,,,,,,,
1845,9,,,,,-1,1,,0,Japan,225,"NAGASAKI, JAPAN",,,,1,1,0,,,,,,,,
1845,,,,,,3,8,,0,United States of America,283,"SE. ALASKA, AK",,,,1,,3,100,,,,,,,
1846,1,25,0,0,,4,1,7.3,0,Indonesia,228,"TERNATE ISLAND, N. MOLUCCAS ISLANDS",2,126.5,1.2,2,,0.5,,,,,,,,
1846,3,,,,,4,1,6.9,0,Japan,225,SANRIKU,39.5,142.5,2,2,1,1,,,,,,,,
1846,5,7,,,,4,0,,0,New Zealand,86,"LAKE TAUPO, NORTH ISLAND",-38.96,175.73,,0,,,,,,,,,,
1846,7,25,17,30,,2,1,,0,Turkey,25,IZMIR,,,,1,,3,,,,,,,,
1846,8,14,12,35,,3,1,6.1,0,Italy,91,LIVORNO,43.4,10.6,,1,,3,56,,,,,3,,
1846,8,26,17,23,,3,1,,0,Italy,91,TUSCANY,43.5,10.5,,2,,4,,,,,,,,
1846,9,12,,,,3,1,,0,Italy,91,TUSCANY,,,,0,,,,,,,,,,
1846,9,19,,,,3,1,,0,Italy,91,TUSCANY,,,,0,,,,,,,,,,
1846,10,4,22,15,,3,1,,0,Italy,91,TUSCANY,,,,0,,,,,,,,,,
1846,10,14,11,15,,3,1,,0,Italy,91,TUSCANY,,,,0,,,,,,,,,,
